iter	Logloss
121	0.2822815313
122	0.2818245008
123	0.281161748
124	0.2806817836
125	0.2800659961
126	0.2789564712
127	0.277476967
128	0.2767312687
129	0.276260932
130	0.2756187678
131	0.2746424841
132	0.2738531551
133	0.273243141
134	0.2726961609
135	0.2720566963
136	0.2714602755
137	0.2710838399
138	0.2693515011
139	0.2688554587
140	0.2685057367
141	0.267952016
142	0.2676013019
143	0.2672529884
144	0.266825633
145	0.2664069488
146	0.2658618577
147	0.2653634251
148	0.2647373413
149	0.2643563309
150	0.2638673527
151	0.262664735
152	0.2622539158
153	0.2618031387
154	0.2604781968
155	0.2601852846
156	0.2598717495
157	0.2594270422
158	0.2587271911
159	0.2581895915
160	0.2577996959
161	0.2575390567
162	0.2569336147
163	0.2563325485
164	0.2560385142
165	0.2554902268
166	0.2549470148
167	0.2534612391
168	0.2520046437
169	0.2517037421
170	0.2512603119
171	0.2509315
172	0.2504529113
173	0.2500324346
174	0.2494313199
175	0.2481102039
176	0.2477648133
177	0.2473824181
178	0.2462658049
179	0.2460250816
180	0.2457133644
181	0.2448339834
182	0.2444882555
183	0.243817391
184	0.2434690034
185	0.2432431499
186	0.2430446156
187	0.2426147395
188	0.242326385
189	0.2420128913
190	0.2415406034
191	0.2412598654
192	0.2408806867
193	0.2406133752
194	0.2397395165
195	0.2393901498
196	0.2390689712
197	0.2386538335
198	0.2382594978
199	0.2377182807
200	0.2374536095
201	0.2370401109
202	0.2356852268
203	0.2352761132
204	0.2337849752
205	0.2334177618
206	0.2320830038
207	0.23173181
208	0.2313975595
209	0.2310017264
210	0.2296789546
211	0.229336274
212	0.2290316701
213	0.2286911701
214	0.2277834751
215	0.2273066032
216	0.2261021388
217	0.2256922653
218	0.2254653429
219	0.2250578877
220	0.224761651
221	0.2243268079
222	0.2233034176
223	0.222975948
224	0.2226997431
225	0.222329928
226	0.2219672254
227	0.2217598202
228	0.2213155044
229	0.2209210771
230	0.2206597221
231	0.2202607558
232	0.2200447259
233	0.219035993
234	0.218741676
235	0.2183061823
236	0.2179463066
237	0.2177835428
238	0.2174938132
239	0.2165326181
240	0.2162303872
241	0.2159144739
242	0.2156764967
243	0.2154518192
244	0.2150122545
245	0.2148524685
246	0.214655744
247	0.214251247
248	0.2140643081
249	0.2138210558
250	0.2136317354
251	0.2133920198
252	0.2131872492
253	0.2129175838
254	0.2125256026
255	0.212270623
256	0.2118324624
257	0.2114863129
258	0.2112688428
259	0.2110076885
260	0.2107949055
261	0.2105147761
262	0.2103447094
263	0.2100746371
264	0.2098056929
265	0.209465218
266	0.2093005012
267	0.2089694653
268	0.2086961472
269	0.2084937187
270	0.2083156714
271	0.2080471661
272	0.2079137527
273	0.207788345
274	0.2075977767
275	0.2070985067
276	0.2067412702
277	0.2064518349
278	0.2062492246
279	0.2059836397
280	0.2057749762
281	0.2056156945
282	0.2053888262
283	0.205007174
284	0.2049186851
285	0.2046907038
286	0.2045140365
287	0.2041894513
288	0.2039217731
289	0.2037467868
290	0.2033939026
291	0.2032611174
292	0.2030438953
293	0.2028083055
294	0.2026010342
295	0.2023321436
296	0.2020963912
297	0.201856186
298	0.2008783614
299	0.2001491391
300	0.1999555508
301	0.1997349009
302	0.1995551551
303	0.1993164316
304	0.199111873
305	0.1989787177
306	0.1986837903
307	0.1980796439
308	0.1974077408
309	0.1971723139
310	0.1968013914
311	0.1965330398
312	0.1956837938
313	0.1955103443
314	0.1953151008
315	0.1950077387
316	0.1947564036
317	0.1945681459
318	0.1943362225
319	0.1941233928
320	0.1938600079
321	0.1937306619
322	0.1934498507
323	0.1933384138
324	0.1931354096
325	0.1928243476
326	0.1927039887
327	0.1925279151
328	0.1921989876
329	0.1912859838
330	0.1910242117
331	0.1908717776
332	0.1906405551
333	0.1902206658
334	0.1899680065
335	0.1897265024
336	0.1895764808
337	0.1893723518
338	0.1889987664
339	0.1888630729
340	0.1885315528
341	0.1882480682
342	0.1880786261
343	0.1878311467
344	0.1876533133
345	0.1874964582
346	0.1872884152
347	0.1870870957
348	0.1869403314
349	0.1867616572
350	0.1865553561
351	0.1863284047
352	0.1861807806
353	0.1859566282
354	0.1858158565
355	0.1856233129
356	0.185498448
357	0.1853664262
358	0.1851997616
359	0.1850868096
360	0.184990244
361	0.1849068239
362	0.1847679804
363	0.1845577652
364	0.1843592716
365	0.184115476
366	0.183683001
367	0.1835291881
368	0.1832427523
369	0.1829602495
370	0.1827189012
371	0.1824168843
372	0.1822420104
373	0.1820643676
374	0.1817795647
375	0.1815922313
376	0.1813665046
377	0.1811357768
378	0.1808069511
379	0.1806263819
380	0.1804833178
381	0.1802863815
382	0.1801584669
383	0.1799204347
384	0.1797124327
385	0.1794634572
386	0.1792887907
387	0.1790750164
388	0.1790105965
389	0.1787792832
390	0.1785995163
391	0.1784065187
392	0.1782892464
393	0.1781503049
394	0.1779844875
395	0.1778108789
396	0.1775227379
397	0.1773653043
398	0.1771450042
399	0.1769410221
400	0.1767179118
401	0.1764691551
402	0.1763245943
403	0.1758874458
404	0.1757086322
405	0.1755746572
406	0.1753985676
407	0.1752301327
408	0.17509142
409	0.1749375186
410	0.174792996
411	0.1745492915
412	0.1743082572
413	0.1741533711
414	0.1739226109
415	0.1737868117
416	0.1735749206
417	0.1734278417
418	0.1732358101
419	0.1730684644
420	0.1728366074
421	0.1725686597
422	0.1723311185
423	0.1721520145
424	0.1720345382
425	0.1719009059
426	0.1716496781
427	0.1713905639
428	0.1711119336
429	0.1709876303
430	0.1708227076
431	0.1705439913
432	0.1703613659
433	0.1701173922
434	0.1699197715
435	0.1698047095
436	0.169623857
437	0.1694548055
438	0.1692061838
439	0.1690552129
440	0.168809497
441	0.1686297137
442	0.1685100943
443	0.1683631699
444	0.1682784478
445	0.1680945865
446	0.1679692388
447	0.1677880388
448	0.1676012582
449	0.16750459
450	0.1673960055
451	0.167233077
452	0.1671029934
453	0.1664690415
454	0.1663337496
455	0.1661402014
456	0.1659652978
457	0.1658266565
458	0.1655932858
459	0.1655192363
460	0.1653952697
461	0.1652649831
462	0.1651132427
463	0.1649301001
464	0.1647300515
465	0.1646052485
466	0.1644731541
467	0.1643436894
468	0.1641068212
469	0.1637981042
470	0.1636290844
471	0.1634761751
472	0.1633170966
473	0.1630331796
474	0.1629185854
475	0.1628048826
476	0.162516416
477	0.1624147695
478	0.1621689602
479	0.1619706334
480	0.1617688932
481	0.161645489
482	0.1614729653
483	0.1612946278
484	0.1611610649
485	0.1609698993
486	0.1606947757
487	0.1605349042
488	0.1604034027
489	0.1601270329
490	0.1599320908
491	0.159815035
492	0.1596473732
493	0.1595761689
494	0.1594903209
495	0.159181754
496	0.1590029119
497	0.1587341531
498	0.15855281
499	0.1583718209
500	0.1581835244
501	0.1580520407
502	0.1579322853
503	0.1577423062
504	0.1574917383
505	0.1573821045
506	0.157189723
507	0.1567719591
508	0.156583426
509	0.156418524
510	0.1562473769
511	0.1560924622
512	0.1559086211
513	0.1558297709
514	0.1556447907
515	0.155480358
516	0.1553720191
517	0.1552134806
518	0.1550203722
519	0.1548405327
520	0.1547158762
521	0.1545739918
522	0.1544135187
523	0.1542652563
524	0.1541459774
525	0.1540414893
526	0.1538557722
527	0.1536811925
528	0.1535515021
529	0.1533758555
530	0.1532477025
531	0.1530919506
532	0.1529679094
533	0.1528613671
534	0.15272778
535	0.1526044079
536	0.1524743884
537	0.1523606625
538	0.1521681828
539	0.1520407874
540	0.1518768395
541	0.1517967027
542	0.1516327457
543	0.1514836486
544	0.1513850176
545	0.1511895106
546	0.1511179318
547	0.150978772
548	0.1504819878
549	0.1503566576
550	0.150256306
551	0.150118358
552	0.1499855033
553	0.1497212783
554	0.1495793467
555	0.1494727045
556	0.1493085979
557	0.1491792342
558	0.1490768605
559	0.1489640306
560	0.1488678227
561	0.1487014194
562	0.1485205023
563	0.1484192252
564	0.1482981359
565	0.1475947892
566	0.1474771442
567	0.1473719687
568	0.1472218275
569	0.1470811349
570	0.1469165213
571	0.1467959431
572	0.1466798892
573	0.1465600118
574	0.1464368416
575	0.1463049672
576	0.1462264845
577	0.1461093968
578	0.1460351744
579	0.1459278841
580	0.1458136913
581	0.1457171268
582	0.1455714351
583	0.1454184772
584	0.1453377432
585	0.1450012793
586	0.1448857088
587	0.1447613412
588	0.144653924
589	0.1445371752
590	0.1443540945
591	0.1441988039
592	0.1441079045
593	0.1440032284
594	0.143867505
595	0.143742895
596	0.1436083855
597	0.1434450012
598	0.143302711
599	0.143091154
600	0.1429362228
601	0.142733616
602	0.1426514111
603	0.1424245063
604	0.1423128625
605	0.1421886233
606	0.1420513386
607	0.1419491109
608	0.1418730448
609	0.1416399209
610	0.1415291
611	0.1414084112
612	0.1407916375
613	0.1406477446
614	0.1405433076
615	0.1404726795
616	0.1401968872
617	0.140093337
618	0.1399981393
619	0.1399509509
620	0.1398331471
621	0.139655183
622	0.139541435
623	0.1394089449
624	0.1392436799
625	0.1391030789
626	0.138937989
627	0.1388303982
628	0.1386841405
629	0.1385496089
630	0.1384004948
631	0.1383065066
632	0.1381263576
633	0.137996997
634	0.1378293481
635	0.1377283734
636	0.1376334749
637	0.137530536
638	0.1370565861
639	0.1369633782
640	0.1368406599
641	0.1367676963
642	0.1366322042
643	0.1364799917
644	0.136420046
645	0.1362837592
646	0.1361624461
647	0.1360029879
648	0.1359099683
649	0.1358077019
650	0.1357257094
651	0.1356304193
652	0.1355541244
653	0.1354794149
654	0.1353244564
655	0.1352090793
656	0.1350303917
657	0.1348347433
658	0.1345950588
659	0.1344427454
660	0.1341879596
661	0.1340454637
662	0.1339334588
663	0.1338406831
664	0.1337188015
665	0.1335889113
666	0.1334748034
667	0.1332961219
668	0.1331799691
669	0.1330642536
670	0.132884043
671	0.1324853384
672	0.1323817804
673	0.1322822683
674	0.1321247602
675	0.1319984392
676	0.1319061194
677	0.1317688394
678	0.1316229202
679	0.1314202076
680	0.1312817536
681	0.1312079909
682	0.1310905675
683	0.1310145008
684	0.1309163274
685	0.1308243865
686	0.1306582454
687	0.1305400623
688	0.1304086613
689	0.1303396612
690	0.1302473276
691	0.1301876088
692	0.1300830972
693	0.1300179568
694	0.1299303572
695	0.1297633988
696	0.1295934452
697	0.1294567883
698	0.1293602715
699	0.1292581854
700	0.1291988056
701	0.1291144876
702	0.129033344
703	0.1289407981
704	0.1287883578
705	0.1286826063
706	0.1285863109
707	0.1284968136
708	0.1284381247
709	0.128340885
710	0.1282581838
711	0.1281605469
712	0.1279843148
713	0.1278951949
714	0.1277931232
715	0.1275917178
716	0.127504127
717	0.127350495
718	0.1271515707
719	0.1270584048
720	0.1269302689
721	0.1266195298
722	0.1265065884
723	0.1263956028
724	0.1262841147
725	0.1261485381
726	0.1259615305
727	0.1258390954
728	0.1257609612
729	0.1256941642
730	0.1255041511
731	0.1254265103
732	0.1253297622
733	0.1252270608
734	0.1251389768
735	0.1250203189
736	0.1247874983
737	0.1247129344
738	0.1245834347
739	0.1244425975
740	0.1243396949
741	0.1242379745
742	0.1240582501
743	0.1239525015
744	0.1238659555
745	0.1237701312
746	0.1236220067
747	0.1235175806
748	0.1233433009
749	0.1232222099
750	0.1231329888
751	0.1230668195
752	0.1229410117
753	0.1228361774
754	0.1227709433
755	0.1226253969
756	0.1225469991
757	0.1223906794
758	0.1223444709
759	0.1222351851
760	0.1220556261
761	0.1219797378
762	0.1218628123
763	0.1217813196
764	0.1216613571
765	0.1215729083
766	0.1213932139
767	0.121205045
768	0.1211030668
769	0.1210167428
770	0.1208839296
771	0.1206978831
772	0.12053369
773	0.1204922796
774	0.1204211477
775	0.1203375169
776	0.1202220537
777	0.1200842709
778	0.1199100976
779	0.1197840416
780	0.1196860593
781	0.1195766802
782	0.1195118734
783	0.1194526746
784	0.11936793
785	0.1192424523
786	0.1191717221
787	0.1191021491
788	0.1190392987
789	0.1189118836
790	0.1187744029
791	0.1186608396
792	0.1185594902
793	0.1184594738
794	0.1183279838
795	0.1181821124
796	0.11802772
797	0.1178116979
798	0.1177440895
799	0.1176022286
800	0.1174908345
801	0.1173431191
802	0.1172816931
803	0.1171586314
804	0.1170931706
805	0.1169712572
806	0.1168757057
807	0.116752974
808	0.1166890161
809	0.116562643
810	0.1164133606
811	0.1163511866
812	0.1162271538
813	0.1160634865
814	0.1158756439
815	0.1158190378
816	0.1157134943
817	0.1156393689
818	0.1155414756
819	0.1154302264
820	0.1153532464
821	0.1152613149
822	0.1151772259
823	0.1151399877
824	0.1150358477
825	0.1149826823
826	0.1148754265
827	0.1147525194
828	0.1146930712
829	0.1145584755
830	0.1144740542
831	0.1143519601
832	0.114259605
833	0.1141505622
834	0.1140697642
835	0.1139972392
836	0.1139179506
837	0.1137552914
838	0.1136720689
839	0.1135592744
840	0.1134469217
841	0.1133362343
842	0.1132657453
843	0.1131148412
844	0.1130130755
845	0.1129522774
846	0.1128877217
847	0.1127421436
848	0.1126027438
849	0.1124892452
850	0.1124398213
851	0.1123272891
852	0.1121989947
853	0.1121053199
854	0.1120364314
855	0.1118781006
856	0.1117963985
857	0.1117436135
858	0.1116872243
859	0.1115959749
860	0.1115188456
861	0.1113765416
862	0.1113279751
863	0.1111787017
864	0.1110879833
865	0.1109971767
866	0.1108797978
867	0.1108029236
868	0.1106928764
869	0.1105980919
870	0.1105360699
871	0.1104501055
872	0.1103553698
873	0.1102799935
874	0.1101914785
875	0.1100960379
876	0.1100549735
877	0.1099348236
878	0.1098759304
879	0.1097947124
880	0.1097403849
